SWBD act,SWBD,Example,Cnt,%
Statement-non-opinion,sd,"Me, I'm in the legal department.","72,824",36%
Acknowledge (Backchannel),b,Uh-huh.,"37,096",19%
Statement-opinion,sv,I think it's great,"25,197",13%
Agree/Accept,aa,That's exactly it.,"10,820",5%
Abandoned or Turn-Exit,% -,"So, -","10,569",5\%
Appreciation,ba,I can imagine.,"4,633",2%
Yes-No-Question,qy,Do you have to have any special training?,"4,624",2%
Non-verbal,x,"[Laughter], [Throat_clearing]","3,548",2%
Yes answers,ny,Yes.,"2,934",1%
Conventional-closing,fc,"Well, it's been nice talking to you.","2,486",1%
Uninterpretable,%,"But, uh, yeah","2,158",1\%
Wh-Question,qw,"Well, how old are you?","1,911",1%
No answers,nn,No.,"1,340",1%
Response Acknowledgement,bk,"Oh, okay.","1,277",1%
Hedge,h,I don't know if I'm making any sense or not.,"1,182",1%
Declarative Yes-No-Question,qy^d,So you can afford to get a house?,"1,174",1%
Other,"o,fo,bc,by,fw","Well give me a break, you know.","1,074",1%
Backchannel in question form,bh,Is that right?,"1,019",1%
Quotation,^q,You can't be pregnant and have cats,934,0.50%
Summarize/reformulate,bf,"Oh, you mean you switched schools for the kids.",919,0.50%
Affirmative non-yes answers,"na,ny^e",It is.,836,0.40%
Action-directive,ad,Why don't you go first,719,0.40%
Collaborative Completion,^2,Who aren't contributing.,699,0.40%
Repeat-phrase,b^m,"Oh, fajitas",660,0.30%
Open-Question,qo,How about you?,632,0.30%
Rhetorical-Questions,qh,Who would steal a newspaper?,557,0.20%
Hold before answer/agreement,^h,I'm drawing a blank.,540,0.30%
Reject,ar,"Well, no",338,0.20%
Negative non-no answers,"ng,nn^e","Uh, not a whole lot.",292,0.10%
Signal-non-understanding,br,Excuse me?,288,0.10%
Other answers,no,I don't know,279,0.10%
Conventional-opening,fp,How are you?,220,0.10%
Or-Clause,qrr,or is it more of a company?,207,0.10%
Dispreferred answers,"arp,nd","Well, not so much that.",205,0.10%
3rd-party-talk,t3,"My goodness, Diane, get down from there.",115,0.10%
"Offers, Options Commits","oo,cc,co",I'll have to check that out,109,0.10%
Self-talk,t1,What's the word I'm looking for,102,0.10%
Downplayer,bd,That's all right.,100,0.10%
Maybe/Accept-part,aap/am,Something like that,98,<.1%
Tag-Question,^g,Right?,93,<.1%
Declarative Wh-Question,qw^d,You are what kind of buff?,80,<.1%
Apology,fa,I'm sorry.,,
